mask,transform,composition,flat_index,place_label,aligned_coverage,shuffled_coverage,aligned_zero_active_image,shuffled_zero_active_image,aligned_effective_confidence_mean,shuffled_effective_confidence_mean,aligned_delta_abs_mean,shuffled_delta_abs_mean,aligned_pre_target_std,shuffled_pre_target_std,aligned_target_std,shuffled_target_std,aligned_target_change_from_ru,shuffled_target_change_from_ru,aligned_target_correlation_with_ru,shuffled_target_correlation_with_ru,aligned_saturation_fraction,shuffled_saturation_fraction,pre_transform_pair_difference,target_pair_difference,target_pair_correlation,target_pair_sign_disagreement,pair_difference_amplification
semantic_off,per_image_zscore,production_roundtrip,18,748,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5460736155509949,0.5460736155509949,0.7623444199562073,0.7623444199562073,0.12359270453453064,0.12359270453453064,0.9610717296600342,0.9610717296600342,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,19,748,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4783582389354706,0.4783582389354706,0.8563156127929688,0.8563156127929688,0.08771920949220657,0.08771920949220657,0.9788109660148621,0.9788109660148621,0.45249998569488525,0.45249998569488525,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,20,1059,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.39605870842933655,0.39605870842933655,0.7052471041679382,0.7052471041679382,0.09360294044017792,0.09360294044017792,0.9736036062240601,0.9736036062240601,0.23749999701976776,0.23749999701976776,0.0,0.0,0.9999998211860657,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,21,1059,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3762286901473999,0.3762286901473999,0.7002736926078796,0.7002736926078796,0.07567135989665985,0.07567135989665985,0.978008508682251,0.978008508682251,0.20000000298023224,0.20000000298023224,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,22,1059,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.400288462638855,0.400288462638855,0.7322965860366821,0.7322965860366821,0.09200835227966309,0.09200835227966309,0.9766517877578735,0.9766517877578735,0.20000000298023224,0.20000000298023224,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,23,1059,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.39467939734458923,0.39467939734458923,0.7224650979042053,0.7224650979042053,0.12233814597129822,0.12233814597129822,0.9663200378417969,0.9663200378417969,0.2475000023841858,0.2475000023841858,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,24,125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3084273040294647,0.3084273040294647,0.8327683806419373,0.8327683806419373,0.05388518422842026,0.05388518422842026,0.9925031065940857,0.9925031065940857,0.42250001430511475,0.42250001430511475,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,25,125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.35936182737350464,0.35936182737350464,0.8208695650100708,0.8208695650100708,0.06123015284538269,0.06123015284538269,0.9911590814590454,0.9911590814590454,0.4025000035762787,0.4025000035762787,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,26,125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.30852144956588745,0.30852144956588745,0.8350090384483337,0.8350090384483337,0.06482779234647751,0.06482779234647751,0.9862449169158936,0.9862449169158936,0.4350000023841858,0.4350000023841858,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,27,125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3171306252479553,0.3171306252479553,0.7576195001602173,0.7576195001602173,0.1054919883608818,0.1054919883608818,0.9687130451202393,0.9687130451202393,0.3199999928474426,0.3199999928474426,0.0,0.0,1.0,0.0,0.0
