query_index,global_correct,refined_correct,ru_correct,top100_reachable,refined_distance_m,refined_raw_ca_difference_deg,nearest_gt_distance_m
421,True,True,True,True,7.774071931507234,1.8583999999997332,7.774071931507234
422,True,True,True,True,2.338929413425331,1.1591644287109375,0.9762432054751988
423,False,True,True,True,8.455760804772343,13.290196582031285,0.2742850868382257
424,True,True,True,True,10.254614231006803,29.525278173828156,1.3492350286721593
425,True,True,True,True,8.094314509697458,8.082700000000045,3.361421479128393
426,True,True,True,True,1.901485081456157,1.1403000000000532,1.901485081456157
427,True,True,True,True,0.9722375742740651,11.461538575879729,0.9722375742740651
428,True,True,True,True,6.376947999438744,14.64819999999986,0.3399537999820098
429,True,True,True,True,9.327749521935923,23.579300000000018,3.1246322419956556
430,True,True,True,True,17.222951241168712,0.29576582031239695,3.5934947409965345
431,True,True,True,True,5.564452499417815,13.750901611328118,5.564452499417815
432,True,True,True,True,12.3486758061451,5.866490039062512,1.9955652295038395
433,True,True,True,True,8.084640790572449,16.94557011718757,3.2655783457888967
434,True,True,True,True,11.308222000972371,1.0675999999999988,4.124297647689723
435,True,True,True,True,2.410517786792162,16.97460000000001,2.410517786792162
436,True,True,True,True,5.135810649787427,4.533500000000004,5.135810649787427
437,True,True,True,True,6.444931482077254,7.220399999999927,0.6574528469281546
438,False,True,False,True,6.194990229399102,20.455775693359385,3.0556295180929123
439,True,False,False,True,1930.6346113987095,164.58580000000006,18.06823591692424
440,True,True,True,True,8.366749973019436,21.38409999999999,8.366749973019436
441,True,True,True,True,11.721971006868698,11.587500000000205,2.763310208473627
442,True,True,True,True,7.908967792044577,0.7396000000001379,4.710636838798128
443,True,True,True,True,12.927402630046302,6.856519999999989,8.067154258928003
444,True,True,True,True,7.516416045412137,1.5779999999999745,1.9466705373123117
445,False,True,False,True,15.2660644207609,12.78902916992189,5.620180711483143
446,False,True,False,True,8.02677590403765,29.473900000000015,8.02677590403765
447,True,True,True,True,6.84592343597988,28.90880000000027,0.5452779932015835
448,True,True,True,True,24.43389570671745,18.169029736328127,3.3004077665319818
449,False,False,False,True,28.305347060143575,22.402305200195315,3.3767246035692633
450,True,True,True,True,6.8955013368632,5.266658671875007,6.8955013368632
451,True,True,True,True,5.2145171301895115,10.146954553564797,1.5262642263726833
452,True,True,True,True,9.44537038863481,10.4452,3.9319708130600763
453,True,True,True,True,2.1611555846528248,3.638799999999918,2.1611555846528248
454,True,True,True,True,12.226890734619555,10.383899999999983,0.8660346357735317
455,True,True,True,True,5.435169005171083,7.472499999999968,2.337423897733843
456,True,True,True,True,11.376109650095103,21.307800000000043,0.22271990916626636
457,True,True,False,True,8.422236651740205,1.5027999999999793,8.100232880134543
458,True,True,True,True,14.809400085028722,0.48320000000003915,5.123919726774136
459,True,True,True,True,4.470690880696435,17.751400000000075,0.7938754396727881
460,True,True,True,True,8.730748445308315,2.6945999999999515,2.999132245474005
