group,layer,head,image_count,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,random_area_mean,random_attention_mass_mean,random_micro_enrichment,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
references,1,3,18871,0.06348250746003686,0.07148589341294756,1.1260723035861326,0.06348250752241785,0.0820823227820377,1.2929911874235844,0.06348250753742088,0.06348884399140779,1.0000998141729542,0.007997049421539766,0.1259724894131784,-0.010596429369090143,-0.1669188838374518
references,1,4,18871,0.06348250746003686,0.06362357574828825,1.0022221599917143,0.06348250752241785,0.07524766771840491,1.1853291663350314,0.06348250753742088,0.06350567951076122,1.000365013516939,0.00011789623752702645,0.0018571464747751953,-0.011624091970116657,-0.1831070063433171
references,1,5,18871,0.06348250746003686,0.06261607436922705,0.9863516246368301,0.06348250752241785,0.06822118688530512,1.074645434590212,0.06348250753742088,0.06323654426363053,0.9961254953004911,-0.0006204698944034864,-0.009773870663660977,-0.0056051125160780845,-0.08829380995338176
references,2,0,18871,0.06348250746003686,0.05825109034653307,0.9175927775569194,0.06348250752241785,0.07408949174825896,1.167085148961632,0.06348250753742088,0.0634610788933768,0.9996624480526158,-0.005209988546843719,-0.08206967049569647,-0.01583840140172589,-0.2494923714047127
references,2,1,18871,0.06348250746003686,0.0607524810127026,0.9569956109712136,0.06348250752241785,0.06910982247749767,1.0886435519752053,0.06348250753742088,0.06351075004553805,1.0004448864610542,-0.0027582690328354473,-0.04344927548984068,-0.008357341464795064,-0.1316479410039918
references,2,2,18871,0.06348250746003686,0.06191970746458654,0.9753821949072486,0.06348250752241785,0.0771689752340759,1.2155943148090815,0.06348250753742088,0.06346283408205754,0.9996900964355929,-0.0015431266174709968,-0.024307901528344278,-0.015249267769489358,-0.2402121199018329
references,2,3,18871,0.06348250746003686,0.06728582064445507,1.0599111997397463,0.06348250752241785,0.07547359604327872,1.1888880730904712,0.06348250753742088,0.06335750764279185,0.9980309553059897,0.003928313001663213,0.061880244433756615,-0.008187775398823646,-0.12897687335072483
references,2,4,18871,0.06348250746003686,0.06417063189595724,1.0108395913055823,0.06348250752241785,0.08092718989574552,1.2747951058355302,0.06348250753742088,0.06335966420946039,0.998064926343874,0.0008109676864968535,0.012774664961708315,-0.016756557999788264,-0.2639555145299479
references,2,5,18871,0.06348250746003686,0.06884363772866062,1.0844505121666574,0.06348250752241785,0.07314156066833787,1.1521529870651228,0.06348250753742088,0.06339949723270412,0.998692390897322,0.005444140495956497,0.08575812126933546,-0.004297922939677242,-0.06770247489846537
union_queries,1,0,1694,0.05798665442918521,0.05269949003579062,0.9088210132927843,0.05798665498336062,0.06824119010810446,1.1768430189271377,0.05798665442918521,0.057543560581055274,0.9923586926596869,-0.004844070545264653,-0.0835376793669026,-0.015541700072313846,-0.2680220056343534
union_queries,1,1,1694,0.05798665442918521,0.06598888335852865,1.138001217833941,0.05798665498336062,0.07970019439598183,1.3744575268025365,0.05798665442918521,0.05810151605425928,1.0019808286269445,0.00788736730426937,0.13602038920699644,-0.013711311037453175,-0.2364563089685956
