group,layer,query,image_count,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,random_area_mean,random_attention_mass_mean,random_micro_enrichment,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
all,2,27,20565,0.06302979775742258,0.052477167225620576,0.8325771157887097,0.06302979786321249,0.07394480167616611,1.173172121488338,0.06302979782843225,0.0628174263225751,0.9966306173718783,-0.010340259096954527,-0.16405350158316856,-0.02146763445054553,-0.3405950056996282
all,2,28,20565,0.06302979775742258,0.04763889751899077,0.755815490672119,0.06302979786321249,0.06844752069346202,1.0859549453419968,0.06302979782843225,0.06269048531447607,0.9946166333123933,-0.015051587795485308,-0.2388011426402743,-0.020808623174471255,-0.3301394546698778
all,2,29,20565,0.06302979775742258,0.06981361880370884,1.1076287928511936,0.06302979786321249,0.07558281599040627,1.1991600568739944,0.06302979782843225,0.06305428573035744,1.0003885130964858,0.006759333073351408,0.10724027975470785,-0.005769197186697415,-0.09153126402280076
all,2,30,20565,0.06302979775742258,0.06828873167876422,1.0834356781784584,0.06302979786321249,0.074864884240767,1.1877697022484357,0.06302979782843225,0.06316108996298893,1.0020830169075594,0.00512764171577529,0.08135266127089902,-0.006576152562002776,-0.10433402406997727
all,2,31,20565,0.06302979775742258,0.061150116273631094,0.9701778912408119,0.06302979786321249,0.07117008167463239,1.129149768639366,0.06302979782843225,0.06307015985905093,1.0006403642722852,-0.0019200435854198395,-0.030462473031473314,-0.010019965401001286,-0.158971877398554
all,2,32,20565,0.06302979775742258,0.05903710784825775,0.9366539311369654,0.06302979786321249,0.07233104265985366,1.1475690088174924,0.06302979782843225,0.0627898761497852,0.996193519780912,-0.0037527683015274567,-0.059539588643946595,-0.013293934811595914,-0.21091507768052697
all,2,33,20565,0.06302979775742258,0.06379688810701195,1.0121702809922002,0.06302979786321249,0.0718194767705953,1.1394527541791932,0.06302979782843225,0.06295359006361914,0.9987909248095552,0.0008432980433928151,0.013379356182644964,-0.00802258866358335,-0.12728247318699304
all,2,34,20565,0.06302979775742258,0.05738856616605924,0.9104989736271363,0.06302979786321249,0.07563537604873151,1.1999939490981026,0.06302979782843225,0.06284828595084009,0.9971202211676733,-0.005459719784780857,-0.08662124754053702,-0.01824680988267227,-0.28949497547096636
all,2,35,20565,0.06302979775742258,0.05141088778681559,0.8156600467714699,0.06302979786321249,0.06818099219869182,1.0817263343705856,0.06302979782843225,0.06296894974486235,0.9990346140132715,-0.011558061958046767,-0.18337456724180168,-0.016770104411876232,-0.26606628759911577
all,2,36,20565,0.06302979775742258,0.056650428818445946,0.8987880468294002,0.06302979786321249,0.07149854652237608,1.1343610315480068,0.06302979782843225,0.06289284900165092,0.9978272367753088,-0.006242420183204965,-0.09903918994590866,-0.014848117703930134,-0.23557298471860666
all,2,37,20565,0.06302979775742258,0.048842667779934366,0.7749139219502336,0.06302979786321249,0.06854747149476512,1.0875407159567145,0.06302979782843225,0.06290209360632193,0.9979739071596275,-0.014059425826387563,-0.22305998520939396,-0.019704803714830743,-0.31262679400648097
all,2,38,20565,0.06302979775742258,0.05708464959148592,0.905677181627375,0.06302979786321249,0.0724884621583427,1.1500665497239488,0.06302979782843225,0.06273890570077933,0.9953848475217273,-0.005654256109293408,-0.0897076658943523,-0.01540381256685679,-0.24438936809657386
